word,frequency
ஹெல்மரின்,10
அப்படியானால்,10
வேலை,10
முதல்,10
அவளைத்,10
ஏனென்றால்,10
எல்லாவற்றையும்,10
இன்று,10
முடியாத,10
சொல்லுங்கள்,9
நல்லது,9
பாருங்கள்,9
விட்டு,9
இன்றிரவு,9
தான்,9
மீது,9
இருக்கிறார்,9
கதவில்,9
நீண்ட,9
உங்களைப்,9
ரெண்டு,9
கணவர்,9
நல்லா,9
மனைவி,9
இரண்டு,9
செல்கிறாள்,9
போன்ற,9
சத்தம்,9
செல்ல,9
அப்போ,9
அதைத்,9
அப்புறம்,9
வேண்டிய,9
தவிர,9
குரலில்,9
யாரும்,9
நம்புகிறேன்,9
மகிழ்ச்சியாக,9
வேண்டியிருந்தது,8
முதலில்,8
முழு,8
வந்து,8
என்றும்,8
ஹால்,8
வழியாக,8
அவங்க,8
அவை,8
ஹெலன்,8
மாலை,8
நம்ப,8
விஷயங்களை,8
என்றால்,8
அவளுடைய,8
முழுவதும்,8
உன்னைப்,8
வாசலில்,8
சொல்லு,8
எழுந்து,8
நாளை,8
அதற்கு,8
சில,8
கீழே,8
போக,8
நோக்கி,8
முடிந்துவிட்டது,8
அல்ல,8
மூன்று,8
குட்டி,8
நானே,8
இரவு,8
தயவுசெய்து,8
ஒருவர்,8
அதுக்கு,7
வேற,7
கேட்கிறது,7
நேரத்தில்,7
உதவி,7
ஏழை,7
எனக்குக்,7
கையில்,7
அதே,7
அதில்,7
அருகில்,7
ஒன்று,7
உனக்குப்,7
உள்ளன,7
பணத்தை,7
அவனிடம்,7
விஷயத்தை,7
வாழ்க்கை,7
கருப்பு,7
இருந்தால்,7
உட்கார்ந்து,7
நான்தான்,7
செய்தீர்கள்,7
சொந்த,7
சீக்கிரம்,7
அவ்வளவுதான்,7
அதன்,7
அவனை,7
தைரியம்,7
விரைவில்,7
நினைத்தேன்,7
அதனால்,7
சுற்றி,7
எப்படியிருந்தாலும்,6
இரு,6
உடையில்,6
மாட்டார்,6
திறந்து,6
முடியுமா,6
போகிறேன்,6
உங்களுக்குப்,6
செய்து,6
எடுத்து,6
அதிகமாக,6
கடிதத்தை,6
வாழ,6
மகிழ்ச்சியாகவும்,6
இல்ல,6
நிற்கிறார்,6
அவரிடம்,6
இதைப்,6
எட்டு,6
மக்கள்,6
தேவையில்லை,6
இருவரும்,6
எந்தப்,6
குறுகிய,6
ஸ்கைலார்க்,6
இருக்கிறதா,6
ஒரே,6
மேடம்,6
பார்க்கிறார்,6
உண்மைதான்,6
நோக்கிச்,6
ஷாம்பெயின்,6
தனியாக,6
எப்படித்,6
அப்போது,6
போய்,6
சிரித்துக்கொண்டே,6
கிட்டத்தட்ட,6
வைத்து,6
பயிற்சி,6
என்னுடன்,6
வீடு,6
நம்,6
க்ரோக்ஸ்டாட்,6
குழந்தைகள்,6
நைட்,6
குட்,6
இனிமேல்,6
பார்,6
வந்தது,5
மிகப்பெரிய,5
வாழ்க்கையில்,5
கைகளில்,5
ஆனாலும்,5
விடைபெறுகிறேன்,5
பின்னால்,5
எனக்கும்,5
நமக்கு,5
விஷயங்கள்,5
கொள்ளுங்கள்,5
மனப்பான்மை,5
ரொம்பவே,5
லெட்டர்,5
இருந்தேன்,5
வலது,5
சத்தியம்,5
முயற்சி,5
இருந்து,5
வைக்கிறாள்,5
பயங்கரமான,5
அடிக்கடி,5
யாரையும்,5
அவற்றை,5
மகிழ்ச்சியான,5
பல,5
நிலையில்,5
மனிதன்,5
கடந்த,5
செய்வேன்,5
தோன்றுகிறது,5
அவளைப்,5
உனக்காக,5
சிறிது,5
உறுதியாக,5
பார்க்கிறேன்,5
மேலே,5
நினைத்துப்,5
உயிரைக்,5
மகிழ்ச்சியுடன்,5
இருக்கும்னு,5
புதிய,5
வருகிறேன்,5
பணிப்பெண்,5
செய்யலாம்,5
தேவை,5
எங்கே,5
அங்க,5
வீட்டு,5
சொல்லுங்க,5
இங்க,5
பெற,5
பெண்,5
மன்னித்துவிட்டேன்,5
அதிர்ஷ்டம்,5
செய்கிறேன்,5
நினைவில்,5
சிறந்த,5
சட்டம்,5
இன்னைக்கு,5
யார்,5
திரும்பக்,5
இருந்தார்,5
அறையில்,5
சொல்வது,5
உண்மையா,5
கணம்,5
வேடிக்கையாக,5
முறை,5
நன்றாகப்,5
என்னைத்,5
மறுபடியும்,5
விஷயங்களைப்,5
பக்கம்,5
காலம்,5
அவசியம்,5
அங்கு,5
உறுதியளிக்கிறேன்,5
நாள்,5
அளவுக்கு,5
செய்,5
அமைதியாக,5
தங்க,5
இருக்கேன்,5
கைகளை,5
அதுவும்,4
செய்தேன்,4
இருப்பதும்,4
தன்னை,4
நினைக்கவே,4
இதுபோன்ற,4
உணர்கிறேன்,4
கொஞ்ச,4
முடிந்ததும்,4
போ,4
ஹாலுக்குள்,4
உலகில்,4
உங்களுடன்,4
நிச்சயமாகச்,4
வழியைக்,4
கவனித்துக்,4
கப்பல்,4
வீட்டிற்கு,4
செய்யப்,4
நம்பிக்கை,4
உடைந்த,4
மிகுந்த,4
ஒன்றுமில்லை,4
அவருக்குத்,4
கண்டுபிடிக்க,4
இருக்கிறாய்,4
இடிபாடுகளில்,4
இப்படி,4
முறையாக,4
தெரிகிறது,4
வங்கியில்,4
சோகமான,4
முயற்சிக்க,4
முடியாதா,4
அழைத்து,4
இருந்துச்சு,4
அவளுக்கு,4
புரிகிறதா,4
வலதுபுறம்,4
பாக்கெட்டில்,4
எல்லாவற்றிலும்,4
திரும்பி,4
ஒவ்வொரு,4
அறை,4
பெட்டியில்,4
வேண்டுமா,4
நினைக்கிறீர்களா,4
அவருடன்,4
அனுமதிக்க,4
திறக்கிறார்,4
செலுத்த,4
விடு,4
தயாராக,4
வெளியேறு,4
வழி,4
இருக்கும்போது,4
உன்னோட,4
கொடுக்கிறார்,4
இளம்,4
வருகிறார்,4
விலகி,4
என்னுடைய,4
இதையெல்லாம்,4
மாட்டாய்,4
உறுதியாகவும்,4
புரியல,4
பாருங்க,4
மாதிரி,4
வெளிப்புறக்,4
மனிதனின்,4
குழந்தைகளையும்,4
கேளுங்கள்,4
உள்,4
இதை,4
அறையிலிருந்து,4
போதுமான,4
சொன்னேன்,4
மேல்,4
உரிமை,4
நிச்சயமா,4
மெதுவாக,4
உங்களுக்காக,4
இருக்கக்,4
எங்களுக்கு,4
சரியான,4
இருக்கிறேன்,4
அப்பாவின்,4
அவர்களை,4
எப்பவும்,4
வர,4
எனக்குச்,4
இருக்குன்னு,4
அழைத்துச்,4
இந்தப்,4
சோபாவில்,4
போகிறது,4
ம்ம்,4
சொல்வதைக்,4
இருக்கிற,4
உன்னைத்,4
இந்தக்,4
சின்னப்,4
இருக்கிறார்கள்,4
வேணும்,4
நடக்கும்,4
விஷயமும்,4
எனவே,4
வேண்டியதில்லை,4
சோர்வாக,4
வாய்ப்பு,4
பவுண்டுகள்,4
குறிப்பாக,4
விரும்பும்,4
மிக,4
அவசரமாக,4
முடியாமல்,4
ஒருவருக்கொருவர்,4
பயந்த,4
அதோ,4
அந்தக்,4
இருக்கிறீர்கள்,4
செல்கிறேன்,4
நாற்காலியில்,4
இருக்கா,4
மூடுகிறார்,4
கணவரின்,4
இடையே,4
வேண்டியது,4
அதனால்தான்,4
அருகே,4
பியானோவில்,4
பொருட்களை,4
உண்மை,4
உங்களால்,4
பாவம்,4
ஒன்றாக,4
கொடுங்கள்,4
விளையாடும்போது,4
கற்றுக்,4
உண்மையான,4
பயனும்,4
மனைவியாக,4
சரியாக,4
எளிதான,4
உன்னால்,4
இருக்காது,4
அனைத்தையும்,4
மோசமான,4
பார்க்கிறாள்,3
சால்வையை,3
இருவருக்கும்,3
குட்டன்பெர்க்,3
பேரா,3
நாடகம்,3
சொல்றது,3
முன்,3
கேட்கிறேன்,3
தனியா,3
யாருக்கும்,3
தெரியக்கூடாது,3
நீயே,3
கூறுகிறார்,3
புனிதமான,3
கடமைகள்,3
பிற,3
கொடுக்கலாம்,3
எல்லாத்தையும்,3
மதம்,3
கேட்க,3
உன்னிடமிருந்து,3
பயம்,3
போறேன்,3
பேச,3
வரும்,3
உனக்குச்,3
தொழில்,3
டோர்வால்டும்,3
இயற்கையாகவே,3
போர்ட்டர்,3
கற்பனை,3
இடையில்,3
பக்க,3
எதிர்காலத்தில்,3
நாற்காலிகள்,3
பக்கத்தில்,3
ராக்கிங்,3
மட்டுமல்ல,3
குவியல்,3
கிசுகிசுக்கிறார்,3
செய்வார்,3
நினைப்பது,3
இருந்ததில்லை,3
எடுத்துச்,3
மேசையில்,3
அழகா,3
திறந்த,3
கவனமாக,3
சந்தோஷமா,3
ஷில்லிங்,3
வெறும்,3
தொப்பியையும்,3
இருந்தாலும்,3
சம்பாதிக்க,3
அணில்,3
தாங்க,3
செய்யாதே,3
பார்க்கிறான்,3
இதெல்லாம்,3
முறையில்,3
போது,3
உட்காருங்கள்,3
அவளிடம்,3
பிடித்து,3
ஐம்பது,3
அதையெல்லாம்,3
அமர்ந்திருக்கிறார்,3
என்னைக்,3
அதைக்,3
பெண்ணைப்,3
அழகாக,3
நன்றாகத்,3
அப்பா,3
தைரியமாக,3
பாதையில்,3
தெரியாமல்,3
முடிந்தவரை,3
புரிந்துகொள்ள,3
அவரைக்,3
காப்பாற்ற,3
தொடர்ந்து,3
கண்டிப்பாக,3
அப்படியே,3
சொன்ன,3
எல்லாமே,3
வந்த,3
இடம்,3
நடக்க,3
இங்கு,3
துண்டு,3
போகும்,3
நிலையை,3
நிகழ்வுகளிலும்,3
நியாயமான,3
கொடுக்க,3
விரும்பினால்,3
அளவு,3
அமர்ந்து,3
அசையாமல்,3
எனது,3
லேசான,3
கூறினார்,3
திருப்தி,3
பயனில்லை,3
சொல்கிறீர்கள்,3
சிரிக்கிறார்,3
தோன்றியது,3
உனக்குக்,3
அவர்களுக்கு,3
போனது,3
பார்வை,3
நிற்கிறாள்,3
மாற,3
விரும்பவில்லை,3
இனிய,3
அவரைப்,3
சரியா,3
ஆட்டுகிறார்,3
வாழ்க்கையை,3
என்னைச்,3
போகிறாய்,3
ஒன்றைக்,3
அடையாளம்,3
எளிதாக,3
எதற்கு,3
வகையான,3
அசிங்கமான,3
நடந்து,3
எடுத்துக்கொண்டு,3
மனநிலையில்,3
செல்லுங்கள்,3
அனைத்தும்,3
சொன்னது,3
என்னவென்றால்,3
இன்னொரு,3
வருவார்,3
காலை,3
தோள்களில்,3
ஒருவருக்கு,3
பற்றியும்,3
க்ரோக்ஸ்டாட்டின்,3
இருந்த,3
மற்ற,3
அனைத்து,3
கூப்பிடு,3
அறிவேன்,3
உதவ,3
தடுக்க,3
பொண்ணு,3
அவமானத்திற்காக,3
கடினமான,3
பிடித்துக்,3
ஏற்பாடு,3
குழந்தை,3
தலையை,3
அடிக்கிறது,3
யாரோ,3
இருக்கீங்க,3
சொல்லப்போனால்,3
திடீரென்று,3
கடந்து,3
மென்மையான,3
அவனுக்கு,3
நம்புகிறீர்களா,3
வருடங்கள்,3
உன்னிடம்,3
சொல்லவில்லை,3
வந்தேன்,3
இருப்போம்,3
கழற்றுங்கள்,3
எடுத்துக்,3
பழைய,3
என்னன்னு,3
அப்போதுதான்,3
கணவன்,3
நின்று,3
ஏற்கனவே,3
உங்களுக்கும்,3
மனதை,3
இல்லைன்னு,3
கணவருக்கு,3
நடக்கப்,3
நடக்காது,3
அறிவு,3
தெளிவான,3
விரும்பினேன்,3
விஷயத்தையும்,3
இருந்திருக்கும்,3
விஷயத்தில்,3
பற்றிய,3
எண்ணம்,3
மனதில்,3
முன்னேற,3
வருடங்களாக,3
அவரிடமிருந்து,3
கேட்கிறார்,3
பைத்தியம்,3
புரியவில்லை,3
நடக்கக்,3
உலகம்,3
உடனே,3
உடையை,3
சாவியை,3
தவறாக,3
நாளைக்கு,3
மறந்துவிட்டேன்,3
உதவியற்ற,3
வாசிக்கிறார்,3
உன்னுடன்,3
பயமா,3
புரியுது,3
எல்லாவற்றிற்கும்,3
மேலாக,3
அறைக்குள்ள,3
கைக்கடிகாரத்தைப்,3
அடுத்த,3
டரான்டெல்லா,3
மண்டபத்தின்,3
கொண்டிருக்கிறாள்,3
படிக்க,3
உங்களிடமிருந்து,3
அர்த்தம்,3
ஹெல்மர்கள்,3
பேரும்,3
கொள்ளவில்லை,3
அதிக,3
மாறுபட்ட,3
உறுதியாகத்,3
உலகத்தின்,3
பார்வையில்,3
எப்படியாவது,3
கணவரிடம்,3
இங்கேயே,3
வாசலுக்கு,3
செய்வது,3
விடாமல்,3
வைக்க,3
பின்னல்,3
சரிதான்,3
அந்தப்,3
என்னுடையது,3
மேசையின்,3
பேசு,2
திட்டக்,2
கேட்டால்,2
மின்னூல்,2
போதும்,2
பக்கத்துல,2
பாக்க,2
மௌனத்திற்குப்,2
நேற்று,2
சொல்லணும்,2
நீதான்,2
மரணம்,2
வீடுஃ,2
சுத்தம்,2
குயில்,2
நண்பர்,2
போய்விட்டாள்,2
வைத்திருக்க,2
அவங்கள,2
அவ,2
இதைச்,2
நாளா,2
விட்டுச்,2
பெண்மணி,2
பார்ப்பீர்கள்,2
பயப்பட,2
பத்து,2
ஹெல்மருக்கு,2
மருத்துவர்,2
எல்லோரும்,2
ஐயா,2
நேராக,2
தீவிரமான,2
அதனால,2
முடியுமோ,2
ஆபத்து,2
நினைக்கிறார்கள்,2
மீதான,2
விரும்பினார்,2
பின்தொடர்ந்து,2
கூச்ச,2
சுபாவமுள்ள,2
விருப்பப்படி,2
வழியில்,2
பார்த்ததில்லை,2
எங்களுடன்,2
கண்டுபிடிப்பது,2
நோய்வாய்ப்பட்ட,2
என்னிடமிருந்து,2
காப்பாற்றுவது,2
உணவிற்கு,2
செல்லட்டும்,2
நாளும்,2
அவனுக்குப்,2
நுழையுங்கள்,2
தேடிப்,2
செல்லவில்லை,2
செல்வது,2
ஆண்டுகளில்,2
அடுப்புக்கு,2
யோசித்துப்,2
அவங்களைப்,2
நேரத்தில்தான்,2
கிடைத்தது,2
கேட்பேன்,2
எங்களுக்குக்,2
காலமாக,2
நடந்தாலும்,2
ஊருக்கு,2
உறவுகளை,2
முக்கியமான,2
வாங்க,2
நினைக்கக்,2
இருங்கள்,2
ஆர்டர்,2
நடந்தால்,2
அப்படியிருந்தும்,2
பார்க்கப்,2
கண்ணே,2
கடிதத்துடன்,2
அப்படிப்,2
விஷயங்களைச்,2
தேவைப்பட்டால்,2
கொடூரமான,2
நன்றாக,2
பொத்திக்,2
கைகளால்,2
அமைதியாகவும்,2
வாயை,2
மோதிரம்,2
கைகளைப்,2
உங்களுக்காகச்,2
இருட்டாக,2
விழுந்து,2
இருநூற்று,2
வெட்கமா,2
கொடுங்க,2
தலையில்,2
மேஜையில்,2
செய்த,2
வைத்துக்கொள்வோம்,2
அனுமதி,2
செலவாகும்,2
மிகக்,2
குறைவாக,2
அதிகம்,2
சொல்லவே,2
முடிவு,2
காப்பாற்றியது,2
சிந்தனையற்ற,2
உயிரினம்,2
டோர்வால்டின்,2
பேசிக்,2
பெருமையாகவும்,2
பயணம்,2
கருத்தை,2
அதுவரைக்கும்,2
ஆகும்,2
அறிவீர்கள்,2
அறிவுரை,2
நடந்தது,2
போகுது,2
ஐவர்,2
சம்பளம்,2
வேண்டியிருக்கிறது,2
போவதில்லை,2
பெருமைப்படவும்,2
மருத்துவர்கள்,2
கிடைச்சிருக்கலாம்,2
மூச்சு,2
சின்ன,2
வழியில,2
வாங்கிட்டேன்னு,2
நகைச்சுவை,2
பயங்கரமாக,2
மெதுவாகப்,2
தொந்தரவு,2
வந்தேன்னு,2
துக்கமோ,2
வாங்கி,2
அவரால்,2
விளக்கு,2
என்றென்றும்,2
வரக்கூடாது,2
வேண்டுமென்றே,2
வரும்போது,2
நிறுவனத்தில்,2
இருந்தபோது,2
பையை,2
அப்பாவுடன்,2
கடமைப்பட்டிருக்க,2
அட்டையைப்,2
கொஞ்சமும்,2
டிரஸ்,2
செய்தார்,2
டோர்வால்டு,2
ரகசியம்,2
விவரிக்க,2
நம்பவே,2
படிக்கட்டுகளில்,2
அவங்ககிட்ட,2
மாட்டீர்கள்,2
நல்லதல்ல,2
சொல்லக்,2
விளக்கை,2
நம்பவில்லை,2
மேசைக்குச்,2
துரதிர்ஷ்டவசமான,2
அறையின்,2
அவருக்குப்,2
மூடுகிறாள்,2
ஃபர்,2
தொப்பியை,2
விளக்கம்,2
மிஸ்டர்,2
துணிந்து,2
அருமையா,2
இனிமையான,2
யோசனை,2
வலதுபுறத்தில்,2
சிறு,2
குழந்தைகளைப்,2
கவலைப்பட,2
கேட்கிறாள்,2
பார்க்கிறாய்,2
அமர்ந்திருக்கிறாள்,2
அவசியமில்லை,2
பதவி,2
பாக்கெட்டிலிருந்து,2
தனக்குள்,2
மறுக்க,2
பத்திரத்தை,2
விட்டுக்கொடுக்க,2
வைக்கப்,2
போகிறீர்கள்,2
பாதுகாப்பேன்,2
புரிஞ்சுது,2
வெறுமையாக,2
சிறிதளவு,2
வாய்ப்பை,2
வீட்டை,2
உருவாக்க,2
யோசனையை,2
திருமணம்,2
வைத்துக்கொள்,2
முட்டாள்தனமாக,2
சொல்கிறாயா,2
கிழித்து,2
கண்டுபிடிப்பேன்,2
மன்னிக்கவும்,2
இப்போதுதான்,2
பேசவில்லை,2
பைசா,2
அதைத்தான்,2
காலுறைகள்,2
போராடி,2
துணிய,2
இருப்பேன்,2
சொல்றீங்களா,2
பயமுறுத்த,2
எடுக்கிறார்,2
பாருங்களேன்,2
குளிர்ந்த,2
தலைமுடி,2
செய்வதில்லை,2
பயன்,2
முழுவதுமாக,2
அதிகாரத்தில்,2
நீங்களே,2
பணப்பையை,2
சேமித்து,2
குரலைக்,2
ஐயோ,2
சாத்தியமற்றது,2
எம்பிராய்டரி,2
ஆட்டினாள்,2
விழுகிறது,2
காலடிச்,2
செல்லும்போது,2
வேலைப்பாடு,2
பாக்ஸில்,2
நுழைகிறார்,2
ஆடையை,2
பணிப்பெண்ணிடம்,2
முடியவில்லையா,2
கரகரப்பான,2
கிசுகிசுப்பில்,2
எறிந்துவிட்டு,2
பதட்டமாக,2
நம்பு,2
வெளிப்புற,2
வச்சுட்டேன்,2
சாட்சியாக,2
விட்டுப்,2
அதாவது,2
பிடிச்சிருக்கு,2
எல்லாப்,2
ஏற்க,2
முட்டாள்,2
ஒலிக்கிறது,2
சொல்வேன்,2
சிரிச்சீங்க,2
அருமையான,2
அன்புள்ள,2
மிஸ்,2
கிடைக்கும்,2
க்ரோக்ஸ்டாட்டைப்,2
ஆஹா,2
போகாதே,2
அடுப்பில்,2
வசிக்கிறார்,2
கத்துகிறார்,2
கதவைப்,2
விரலை,2
கிடக்கிறது,2
கடமை,2
திருப்பி,2
வருவேன்,2
பள்ளி,2
வரலாமா,2
தாழ்ந்த,2
மகிழ்ச்சியைத்,2
தரும்,2
வரைக்கும்,2
தொடங்கும்,2
நன்கு,2
முழுமையாகவும்,2
சேவை,2
கிடைத்தால்,2
எடுத்துக்கொள்ள,2
தேவையானது,2
டரான்டெல்லாவின்,2
பயனுள்ளதாக,2
சூழ்நிலைகள்,2
பயப்படுகிறாயா,2
என்னவென்று,2
முன்னாடி,2
உட்காருங்க,2
ஒருவருக்குத்,2
எடுக்கிறாள்,2
கொள்கிறாள்,2
மேடையின்,2
நடனமாடுகிறார்,2
இதுதான்,2
விளையாடுவதை,2
நிறுத்துகிறார்,2
சரியில்லை,2
நிறுத்து,2
பைத்தியக்காரத்தனம்,2
எங்க,2
அடுப்பு,2
தூக்கி,2
நேசிக்கவில்லை,2
நிமிஷம்,2
திறக்கக்,2
மாதிரியான,2
சோபா,2
ஹெல்மரிடம்,2
சொல்வதை,2
ஹல்லோ,2
விருந்து,2
இருக்காதே,2
அவ்வளவுதானா,2
விருப்பங்களிலும்,2
கை,2
வாழ்க்கையின்,2
அல்லவா,2
நள்ளிரவு,2
ஏழு,2
வேறொன்றுமில்லை,2
நான்கு,2
காட்டுகிறேன்,2
இருபத்தி,2
எரிந்து,2
முடிந்த,2
திறந்தே,2
மூடுகிறான்,2
சாப்பிடவில்லையா,2
அவனைப்,2
அவ்வப்போது,2
வித்தியாசமாக,2
பிரச்சனைகளையும்,2
கண்டேன்,2
அதேதான்,2
நடுவில்,2
அப்படியா,2
சாத்தியமில்லை,2
வாருங்கள்,2
முக்கிய,2
பேசுகிறேன்,2
லேட்,2
என்பதில்,2
இருந்தார்கள்,2
இடது,2
அவனது,2
மற்றொரு,2
ஒட்டிக்கொண்டிருக்கிறேன்,2
நன்மை,2
மனிதனைப்,2
சொன்னீர்கள்,2
இருப்பதை,2
தாங்கிக்கொள்ள,2
அதுவே,2
சிறிதும்,2
மகிழ்ச்சி,2
யாரையாவது,2
நினைக்கிறீங்க,2
எப்போதாவது,2
விட்டுடு,2
கண்களை,2
முகத்தில்,2
தாய்,2
கோட்,2
அவனுடைய,2
மனிதர்,2
இதற்கெல்லாம்,2
கொடுமை,2
வழிவகுக்கிறது,2
உயிருடன்,2
சொல்றேன்,2
காத்திருப்பேன்,2
திருப்பித்,2
பற்றியது,2
முழுமையான,2
கிளம்ப,2
பாதுகாப்பாக,2
எந்தத்,2
அறையைச்,2
அங்கியையுமே,2
வித்தியாசம்,2
நோராவின்,2
நோராவை,2
இருக்கிறாள்,2
திறந்திருக்கிறது,2
தொங்கிக்,2
நம்ம,2
வணக்கம்,2
முடியாதுன்னு,2
கழற்றுகிறேன்,2
இரட்டிப்பு,2
ஆச்சு,2
அரை,2
வெற்றியைப்,2
பெற்றாள்,2
விளைவைக்,2
காப்ரி,2
எடுத்தேன்,2
விரைவான,2
குதித்து,2
எறிந்து,2
வைக்கிறார்,2
பொறுத்தவரை,2
மன்னிக்க,2
மேல,2
கீழும்,2
வசதியாகவும்,2
ஆடம்பரமான,2
வருகிறான்,2
காட்சி,2
வந்ததும்,2
பார்க்கக்,2
தூக்கம்,2
நடவடிக்கை,2
செய்தது,2
நெற்றியில்,2
முத்தமிட்டு,2
என்பதைக்,2
இருக்கறது,2
ஆன்,2
போறதுக்கு,2
தருகிறது,2
கூடக்,2
ரகசியமா,2
எங்களுக்கிடையில,2
சொல்லவில்லையா,2
கொண்டே,2
கழுத்தில்,2
செய்கிறாய்,2
திரும்பிச்,2
காத்திருங்கள்,2
உலகத்துல,2
ஒருத்தர்,2
மாலைப்,2
அறிவியல்,2
பற்றிப்,2
முட்டாள்தனமான,2
உறுதி,2
கழிக்க,2
ஃபேன்ஸி,2
இருக்கியா,2
இருக்கணும்,2
அன்பு,2
தொப்பி,2
வயதான,2
சுருட்டை,2
குட்பை,2
பேரையும்,2
பண்றேன்,2
பெட்டியிலிருந்து,2
கதவின்,2
கடிதங்களை,2
மரணத்தை,2
கொள்கிறான்,2
வார்த்தை,2
நினைக்க,2
நிற்கிறேன்,2
வழக்கறிஞர்,2
கடிதங்களைப்,2
பார்க்கும்போது,2
அசிங்கம்,2
பாடும்,2
பறவை,2
படிப்பேன்,2
ஓஹோ,2
குழந்தைகளும்,2
பரிதாபகரமான,2
செய்தாய்,2
உடை,2
பதில்,2
சீராகப்,2
நீங்கதான்,2
மோசமானவள்,2
குற்றவாளி,2
தந்தையின்,2
கொள்கையின்மை,2
இப்படித்தான்,2
அழித்துவிட்டாய்,2
வேண்டுமானாலும்,2
வழியிலிருந்து,2
இருப்பீர்கள்,2
இதற்குப்,2
நினைப்பார்கள்,2
குழந்தைகளை,2
கேள்வி,2
உடம்பு,2
காப்பாற்றப்பட்டேன்,2
காப்பாற்றப்பட்டோம்,2
இவை,2
முகம்,2
டொர்வால்ட்,2
மனைவியை,2
மன்னித்துவிட்டான்,2
வெளிப்படையாகவும்,2
கொண்டதில்லை,2
விஷயத்திலும்,2
கொள்வது,2
கருத்துக்கள்,2
நேரங்களில்,2
மற்றொன்று,2
அன்பாக,2
இருந்திருக்கிறீர்கள்,2
விளையாட்டு,2
ஆள்,2
தகுதியானவன்,2
அவங்களை,2
செய்யணும்,2
செல்வேன்,2
வீட்டையும்,2
கணவரையும்,2
கண்ணீர்,2
விரும்ப,2
பெரும்பாலான,2
புத்தகங்களில்,2
வேண்டியிருக்கும்,2
மதகுரு,2
காப்பாற்றவோ,2
குழந்தையைப்,2
பேசுகிறாய்,2
தெளிவாகவும்,2
உறுதியான,2
அவமானத்திற்கும்,2
விருப்பத்திற்கு,2
உறுதிமொழிக்கு,2
இருந்ததா,2
உடையக்கூடியதாகவும்,2
பிரிவது,2
அணிந்துகொண்டு,2
என்னுடையதை,2
என்றாவது,2
கடமைகளிலிருந்தும்,2
எவருக்கும்,2
பார்க்கணும்,2
ஹென்ரிக்,2
பயன்படுத்த,2
அசைத்து,2
ஒல்லியாகிவிட்டீர்கள்,1
வயதானவளா,1
வயதானவராக,1
சீரியஸாகப்,1
பேசுகிறார்,1
இப்படிப்,1
கொண்டிருக்கிறேன்,1
மன்னியுங்கள்,1
விதவை,1
வருடங்களுக்கு,1
செய்தித்தாள்களில்,1
பார்த்தேன்,1
எழுத,1
தள்ளிப்,1
போட்டேன்,1
